id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master,group_title,unit_price_czk,age_min,age_max
56634,Head Medium Tennis Promo Pink,"Tenisové míče head medium tennis promo pink jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink/d56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink-56634.jpg,in stock,259.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky > Velké tenisové míče,645,,všechny povrchy,,,56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink/d56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink-56634.jpg,Head Medium Tennis Promo Pink,,,
28236,Dunlop Fort Clay Court,3. Místo v testu tenisových míčků 2020,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court/d28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court-28236.jpg,in stock,209.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,43290,"tréninkové nasazení,volný čas",všechny povrchy,4.0,Tlakovaný,28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court/d28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court-28236.jpg,Dunlop Fort Clay Court,52.25,,
29688,Dunlop Fort All Court TS,"Tenisové míče dunlop fort all court ts jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts/d29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts-29688.jpg,in stock,195.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,35754,"tréninkové nasazení,volný čas",všechny povrchy,4.0,Tlakovaný,29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts/d29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts-29688.jpg,Dunlop Fort All Court TS,48.75,,
1355188,Head Tour (3 Pack),2. Místo v testu tenisových míčků 2020,https://www.sportega.cz/tenisove-mice-head-tour-3-pack/d1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack-1355188.jpg,in stock,145.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,10922,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,3.0,Tlakovaný,1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack/d1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack-1355188.jpg,Head Tour (3 Pack),48.333333333333336,,
1372138,Tecnifibre My New Ball 36 ks,"Dětské tenisové míče tecnifibre my new ball 36 pack jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tenisáky s dlouhou životností na rekreační tenis",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks/d1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks-1372138.jpg,in stock,1879.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,3446,"tréninkové nasazení,začínající hráči",všechny povrchy,36.0,Netlakovaný,1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks/d1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks-1372138.jpg,Tecnifibre My New Ball 36 ks,52.19444444444444,5.0,8.0
85168,Tecnifibre Mini 36 Pack,"Dětské tenisové míče tecnifibre mini 36 pack jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg,in stock,1799.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,1952,tréninkové nasazení,všechny povrchy,36.0,Tlakovaný,85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg,Tecnifibre Mini 36 Pack,49.97222222222222,8.0,9.0
78144,Babolat Team Clay,"Tenisové míče babolat team clay jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg,in stock,259.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,13251,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg,Babolat Team Clay,64.75,,
78146,Babolat Team All Court,"Tenisové míče babolat team all court jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team-all-court/d78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court-78146.jpg,in stock,219.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,11713,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court/d78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court-78146.jpg,Babolat Team All Court,54.75,,
78145,Babolat Team,"Tenisové míče babolat team jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team/d78145,https://www.sportega.cz/tenisove-mice-babolat-team-78145.jpg,in stock,249.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,6341,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,78145,https://www.sportega.cz/tenisove-mice-babolat-team/d78145,https://www.sportega.cz/tenisove-mice-babolat-team-78145.jpg,Babolat Team,62.25,,
3324,Tecnifibre XLD (4 Pack),"Tenisové míče tecnifibre xld (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack/d3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack-3324.jpg,in stock,199.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,3843,"zápasové a turnajové nasazení,tréninkové nasazení,volný čas",všechny povrchy,4.0,Netlakovaný,3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack/d3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack-3324.jpg,Tecnifibre XLD (4 Pack),49.75,,
