id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučený věk,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master
56634,Tenisový míč Head  Medium Tennis Promo Pink,"Tenisové míče head  medium tennis promo pink  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink/d56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink-56634.jpg,in stock,259 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky > Velké tenisové míče,645,,,,,,56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink/d56634,https://www.sportega.cz/tenisovy-mic-head-medium-tennis-promo-pink-56634.jpg
30632,Tuba na sbírání míčků Wilson  Ball Pick Up,"Sběr míčků bez ohýbánítuba na sbírání míčků wilson ball pick up je vhodnou trenérskou pomůckou, která usnadní sběr tenisových míčků. Kapacita tuby je až 18 míčků. Praktický nastavitelný ramenní pás usnadňuje přenos.",https://www.sportega.cz/tuba-na-sbirani-micku-wilson-ball-pick-up/d30632,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-ball-pick-up-30632.jpg,in stock,979 CZK,Sportovní potřeby > Atletické sporty > Tenis > Sběrače a koše na tenisové míčky,Wilson,Sportega > Tenis > Míčky > Sběrné koše na tenisové míče,3156,,,,,,30632,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-ball-pick-up/d30632,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-ball-pick-up-30632.jpg
17692,Tuba na sbírání míčků Head  Ball Tube,Novinka určená zejméná pro trenérské použití tuba na sbírání míčků head ball tube. Kapacita je až 16 míčků a samotné sbírání míčků je velice pohodlné.,https://www.sportega.cz/tuba-na-sbirani-micku-head-ball-tube/d17692,https://www.sportega.cz/tuba-na-sbirani-micku-head-ball-tube-17692.jpg,in stock,639 CZK,Sportovní potřeby > Atletické sporty > Tenis > Sběrače a koše na tenisové míčky,Head,Sportega > Tenis > Míčky > Sběrné koše na tenisové míče,11019,,,,,,17692,https://www.sportega.cz/tuba-na-sbirani-micku-head-ball-tube/d17692,https://www.sportega.cz/tuba-na-sbirani-micku-head-ball-tube-17692.jpg
21568,Koš na tenisové míče Wilson,"Koš na tenisové miče wilson je skvělou pomůckou zejména pro trenéry, oddíly, kluby a tenisové školičky. Díky koši na tenisové míče, který pojme až 75 kusů míčů si ušetříte práci se zdlouhavým sbíráním míčů po celém kurtu. Míče nejsou součástí výrobku.koš na míče je určen k pohodlnému sběru a přenosu až 75 kusů míčů. Při sběru míčů po celém kurtu se vyhnete neoblíbenému ohýbání, protože míče sbíráte přímo do koše a při přenosu určitě oceníte velkou kapacitu, kterou tento koš nabízí.kovový koš na tenisové míče je velice stabilní, pevný, lehce složitelný a skvěle skladovatelný. Koš je také perfektně skladný a ideální pro převoz, díky ploché krabici, kde je velká úspora místa.míče nejsou součástí výrobku, ale v balení najdete šrouby a utahovací klíče pro snadné a rychlé složení.perfektní koš na tenisové míče wilson v černé barvě je skvělý pomocník pro každý tenisový trénink.upozornění: foto koše je pouze ilustrativní - tenisové míče nejsou součástí balení.",https://www.sportega.cz/kos-na-tenisove-mice-wilson/d21568,https://www.sportega.cz/kos-na-tenisove-mice-wilson-21568.jpg,in stock,939 CZK,Sportovní potřeby > Atletické sporty > Tenis > Sběrače a koše na tenisové míčky,Wilson,Sportega > Tenis > Míčky > Sběrné koše na tenisové míče,16249,,"tréninkové nasazení,volný čas,školní aktivity",,,,21568,https://www.sportega.cz/kos-na-tenisove-mice-wilson/d21568,https://www.sportega.cz/kos-na-tenisove-mice-wilson-21568.jpg
14116,Koš na tenisové míče Head,"Značkový koš head na tenisové míče určený zejména pro trenéry, kluby a školy. Do koše nasypete až 72 míčů.",https://www.sportega.cz/kos-na-tenisove-mice-head/d14116,https://www.sportega.cz/kos-na-tenisove-mice-head-14116.jpg,in stock,899 CZK,Sportovní potřeby > Atletické sporty > Tenis > Sběrače a koše na tenisové míčky,Head,Sportega > Tenis > Míčky > Sběrné koše na tenisové míče,22807,,školní aktivity,,,,14116,https://www.sportega.cz/kos-na-tenisove-mice-head/d14116,https://www.sportega.cz/kos-na-tenisove-mice-head-14116.jpg
28236,Tenisové míče Dunlop  Fort Clay Court,3. Místo v testu tenisových míčků 2020,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court/d28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court-28236.jpg,in stock,209 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,43290,,"tréninkové nasazení,volný čas",všechny povrchy,dóza po 4 ks,Tlakovaný,28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court/d28236,https://www.sportega.cz/tenisove-mice-dunlop-fort-clay-court-28236.jpg
29688,Tenisové míče Dunlop  Fort All Court TS,"Tenisové míče dunlop  fort all court ts  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts/d29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts-29688.jpg,in stock,195 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,35754,,"tréninkové nasazení,volný čas",všechny povrchy,dóza po 4 ks,Tlakovaný,29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts/d29688,https://www.sportega.cz/tenisove-mice-dunlop-fort-all-court-ts-29688.jpg
1357138,Tuba na sbírání míčků Wilson  Minions Ball Tube Blue,"Tuba na sbírání míčků wilson  minions ball tube blue potěší hlavně nejmenší tenisty designem minions. Vejde se do ní až 18 míčků, snadno se přenáší pomocí odnímatelného ramenního popruhu.",https://www.sportega.cz/tuba-na-sbirani-micku-wilson-minions-ball-tube-blue/d1357138,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-minions-ball-tube-blue-1357138.jpg,in stock,1050 CZK,Sportovní potřeby > Atletické sporty > Tenis > Sběrače a koše na tenisové míčky,Wilson,Sportega > Tenis > Míčky > Sběrné koše na tenisové míče,2787,,,,,,1357138,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-minions-ball-tube-blue/d1357138,https://www.sportega.cz/tuba-na-sbirani-micku-wilson-minions-ball-tube-blue-1357138.jpg
1355188,Tenisové míče Head  Tour (3 Pack),2. Místo v testu tenisových míčků 2020,https://www.sportega.cz/tenisove-mice-head-tour-3-pack/d1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack-1355188.jpg,in stock,145 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,10922,,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,dóza po 3 ks,Tlakovaný,1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack/d1355188,https://www.sportega.cz/tenisove-mice-head-tour-3-pack-1355188.jpg
1372138,Dětské tenisové míče Tecnifibre  My New Ball 36 ks,"Dětské tenisové míče tecnifibre  my new ball 36 pack  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tenisáky s dlouhou životností na rekreační tenis",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks/d1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks-1372138.jpg,in stock,1879 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,3446,5-8 let,"tréninkové nasazení,začínající hráči",všechny povrchy,36 ks,Netlakovaný,1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks/d1372138,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-my-new-ball-36-ks-1372138.jpg
85168,Dětské tenisové míče Tecnifibre  Mini 36 Pack,"Dětské tenisové míče tecnifibre  mini 36 pack  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg,in stock,1799 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,1952,8-9 let,tréninkové nasazení,všechny povrchy,36 ks,Tlakovaný,85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg
78144,Tenisové míče Babolat  Team Clay,"Tenisové míče babolat  team clay  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg,in stock,259 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,13251,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg
